tileswide 16
tileshigh 16
tilewidth 16
tileheight 16

layer 0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,7,7,8,7,7,7,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,7,9,7,8,8,7,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,7,7,8,7,9,7,7,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,7,7,7,7,8,7,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

layer 1
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,44,45,45,46,43,43,43,43,43,43,43,
43,43,43,43,44,54,-1,-1,53,46,43,43,43,43,43,43,
43,43,43,43,50,-1,-1,-1,-1,52,43,43,43,43,43,43,
43,43,43,43,56,48,-1,-1,-1,53,46,43,43,43,43,43,
43,43,43,43,49,56,57,57,48,-1,52,43,43,43,43,43,
43,43,43,43,43,43,43,43,56,57,58,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,

layer 2
23,23,23,23,23,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23,23,23,23,23,23,23,-1,-1,-1,31,41,41,41,32,-1,
23,23,23,60,23,23,23,-1,-1,-1,36,27,27,27,34,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,29,30,27,34,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,29,38,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
31,41,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
42,27,40,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
27,27,27,40,41,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
27,27,27,27,27,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
27,27,27,27,27,40,41,41,32,-1,-1,-1,-1,-1,-1,-1,
27,27,27,27,27,27,27,27,34,-1,-1,-1,-1,-1,-1,-1,

layer 3
29,29,29,29,29,29,29,55,-1,-1,-1,-1,-1,-1,-1,55,
-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,
57,57,48,-1,47,57,57,48,51,-1,-1,39,-1,35,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,
49,49,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,
49,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,
-1,51,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,49,
-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,49,49,55,
39,33,-1,-1,39,-1,-1,-1,-1,-1,-1,49,-1,-1,51,55,
39,35,-1,33,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,55,55,
35,33,39,-1,-1,-1,33,-1,-1,-1,-1,-1,-1,55,55,55,

